x;y;iter
5;5;0
4;4;1
3.3753;3.3753;2
2.90899;2.90899;3
2.53609;2.53609;4
2.22692;2.22692;5
1.96492;1.96492;6
1.73969;1.73969;7
1.54412;1.54412;8
1.3731;1.3731;9
1.22275;1.22275;10
1.09004;1.09004;11
0.972557;0.972557;12
0.868307;0.868307;13
0.775633;0.775633;14
0.693131;0.693131;15
0.619605;0.619605;16
0.55402;0.55402;17
0.495478;0.495478;18
0.443193;0.443193;19
0.396476;0.396476;20
0.354721;0.354721;21
0.317389;0.317389;22
0.284004;0.284004;23
0.254145;0.254145;24
0.227434;0.227434;25
0.203537;0.203537;26
0.182157;0.182157;27
0.163025;0.163025;28
0.145906;0.145906;29
0.130586;0.130586;30
0.116876;0.116876;31
0.104606;0.104606;32
0.0936248;0.0936248;33
0.0837969;0.0837969;34
0.0750011;0.0750011;35
0.0671288;0.0671288;36
0.0600829;0.0600829;37
0.0537767;0.0537767;38
0.0481325;0.0481325;39
0.0430808;0.0430808;40
0.0385593;0.0385593;41
0.0345123;0.0345123;42
0.0308902;0.0308902;43
0.0276482;0.0276482;44
0.0247465;0.0247465;45
0.0221493;0.0221493;46
0.0198247;0.0198247;47
0.0177441;0.0177441;48
0.0158818;0.0158818;49
0.014215;0.014215;50
0.0127232;0.0127232;51
0.0113879;0.0113879;52
0.0101927;0.0101927;53
0.00912299;0.00912299;54
0.00816553;0.00816553;55
0.00730856;0.00730856;56
0.00654153;0.00654153;57
0.00585499;0.00585499;58
0.00524051;0.00524051;59
0.00469052;0.00469052;60
0.00419825;0.00419825;61
0.00375765;0.00375765;62
0.00336328;0.00336328;63
0.00301031;0.00301031;64
0.00269438;0.00269438;65
0.0024116;0.0024116;66
0.0021585;0.0021585;67
0.00193197;0.00193197;68
0.00172921;0.00172921;69
0.00154773;0.00154773;70
0.0013853;0.0013853;71
0.00123991;0.00123991;72
0.00110978;0.00110978;73
0.00099331;0.00099331;74
0.000889062;0.000889062;75
0.000795756;0.000795756;76
0.000712241;0.000712241;77
0.000637492;0.000637492;78
0.000570587;0.000570587;79
0.000510704;0.000510704;80
0.000457106;0.000457106;81
0.000409133;0.000409133;82
0.000366194;0.000366194;83
0.000327762;0.000327762;84
0.000293364;0.000293364;85
0.000262575;0.000262575;86
0.000235018;0.000235018;87
0.000210353;0.000210353;88
0.000188276;0.000188276;89
0.000168517;0.000168517;90
0.000150831;0.000150831;91
